Time	Open	High	Low	Close	Volume	Volatility
28/05/2018 02:00:00	7328.4	7353.3	7317.7	7343.7	561.8589274100009	8.537208440975624
28/05/2018 03:00:00	7343.7	7356.8	7323.7	7350.1	235.67540501000005	8.45997004502365
28/05/2018 04:00:00	7350.1	7425.4	7262.5	7278.1	1863.798900019981	40.67470427147325
28/05/2018 05:00:00	7278.1	7302.5	7270.3	7301.0	232.86550299999982	6.461844394952607
28/05/2018 06:00:00	7301.0	7329.4	7295.1	7311.0	385.9719946500009	8.115206747242885
28/05/2018 07:00:00	7311.0	7334.3	7299.9	7330.0	267.55735555999996	9.935912662685517
28/05/2018 08:00:00	7330.0	7337.0	7318.9	7332.4	245.13168224000006	4.372493951523963
28/05/2018 09:00:00	7332.4	7373.98930811	7323.6	7339.7	313.61641786999996	11.952065567442562
28/05/2018 10:00:00	7339.7	7370.0	7339.6	7342.9	691.7996142200006	9.623797835970553
28/05/2018 11:00:00	7342.9	7399.2	7290.6	7365.7	1434.9934134699993	22.238425465813787
28/05/2018 12:00:00	7365.7	7370.7	7347.1	7356.0	140.28943613999988	5.990123953088848
28/05/2018 13:00:00	7356.0	7437.7	7355.2	7374.2	763.4752342500029	25.44851452090401
28/05/2018 14:00:00	7374.2	7378.5	7288.5	7317.6	1175.000094899997	23.030886602162866
28/05/2018 15:00:00	7317.6	7335.0	7142.0	7163.2	3381.7242378899873	63.677564926177304
28/05/2018 16:00:00	7163.2	7220.0	7151.2	7195.0	2092.533383589997	12.876409696561648
28/05/2018 17:00:00	7195.0	7242.0	7186.4	7217.0	1074.359591649999	10.405407458708252
28/05/2018 18:00:00	7217.0	7220.0	7193.9	7211.3	661.0871418500011	5.659379495375833
28/05/2018 19:00:00	7211.3	7230.0	7188.49056648	7192.8	1041.5769076799907	8.801315471418192
28/05/2018 20:00:00	7192.8	7221.9	7190.0	7213.1	413.75158479000095	7.062089995051676
28/05/2018 21:00:00	7213.1	7222.1	7188.5	7199.0	588.3187206700006	7.890141311854357
28/05/2018 22:00:00	7199.0	7311.6	7168.4	7279.0	1706.5827886299821	36.55813520398659
28/05/2018 23:00:00	7279.0	7278.3	7247.3	7263.0	317.39755916000024	7.390151516109305
29/05/2018 00:00:00	7263.0	7274.3	7229.4	7243.0	384.5898291700003	11.157027776674155
29/05/2018 01:00:00	7243.0	7261.05142257	7194.6	7223.1	514.07584712	19.456350221246062
29/05/2018 02:00:00	7223.1	7234.5	7188.2	7204.9	451.4773911099997	10.365118837086504
29/05/2018 03:00:00	7204.9	7229.0	7183.3	7229.0	295.9354312000003	10.279999696620179
29/05/2018 04:00:00	7229.0	7240.1	7201.8	7201.8	311.0145379200012	10.735397203861245
29/05/2018 05:00:00	7201.8	7259.0	7199.4	7224.0	486.272720900001	15.27011062521323
29/05/2018 06:00:00	7224.0	7246.0	7194.6	7209.5	411.35865678000056	12.495669713782124
29/05/2018 07:00:00	7209.5	7209.6	7114.9	7150.5	1896.3235575599895	19.03865353642907
29/05/2018 08:00:00	7150.5	7153.8	7062.3	7131.99085371	1968.6433663599869	22.603426395228972
29/05/2018 09:00:00	7131.99085371	7132.9	7082.4	7097.9	885.155331110003	10.238607224368467
29/05/2018 10:00:00	7097.9	7131.0	7097.8	7115.1	585.7936813200005	6.849589330198611
29/05/2018 11:00:00	7115.1	7120.8	7040.0	7113.0	1190.9101243200034	20.99043727220897
29/05/2018 12:00:00	7113.0	7112.7	7070.0	7104.6	583.4523091200022	11.747677066327118
29/05/2018 13:00:00	7104.6	7133.4	7098.5	7118.4	249.41244020000036	9.826035649943853
